"detailid","tarih","marka","seri","model","yil","yakit","vites","hacim","guc","kilometre","takas","kimden","fiyat"
"2290","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2011","Dizel","D&#252;z","1598 cc","105 hp","0.185","Takasa Uygun Değil","Galeriden","0.075"
"2291","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.171","Takasa Uygun Değil","Galeriden","0.101"
"2292","22 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1598 cc","105 hp","0.19","Takasa Uygun","Galeriden","0.08990000000000001"
"2293","21 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2014","Dizel","Yarı Otomatik","1598 cc","105 hp","0.144","Takasa Uygun","Galeriden","0.0895"
"2294","19 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.189","Takasa Uygun Değil","Galeriden","0.0725"
"2295","17 Aralık 2019","Volkswagen","Jetta","1.6 TDi Highline","0.2013","Dizel","Yarı Otomatik","1598 cc","105 hp","0.163","Takasa Uygun","Galeriden","0.11"
"2296","17 Aralık 2019","Volkswagen","Jetta","1.6 TDi Exclusive","0.2011","Dizel","Yarı Otomatik","1401 - 1600 cm3","101 - 125 HP","0.30057999999999996","Takasa Uygun","Galeriden","0.063"
"2297","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2012","Dizel","D&#252;z","1598 cc","105 hp","0.115","Takasa Uygun","Galeriden","0.1125"
"2298","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2011","Benzin","Yarı Otomatik","1390 cc","160 hp","0.103","Takasa Uygun","Sahibinden","0.08475"
"2299","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2013","Dizel","D&#252;z","1598 cc","105 hp","0.138","Takasa Uygun Değil","Galeriden","0.08650000000000001"
"2301","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Comfortline","0.2015","Dizel","D&#252;z","1598 cc","105 hp","0.065","Takasa Uygun Değil","Sahibinden","0.13999999999999999"
"2302","23 Aralık 2019","Volkswagen","Jetta","1.6 TDi Trendline","0.2015","Dizel","Yarı Otomatik","1598 cc","105 hp","0.09659999999999999","Takasa Uygun","Sahibinden","0.10500000000000001"
"2303","23 Aralık 2019","Volkswagen","Jetta","1.4 TSi Comfortline","0.2015","Benzin","D&#252;z","1390 cc","122 hp","0.162","Takasa Uygun Değil","Sahibinden","0.0975"
"2304","23 Aralık 2019","Volkswagen","Jetta","1.2 TSi Comfortline","0.2014","Benzin","Yarı Otomatik","1197 cc","105 hp","0.13","Takasa Uygun Değil","Galeriden","0.1"
